CIK,Company Name,Form Type,Date Filed,Filename,local_path,SEC_url,SIC
1054721,BSQUARE CORP /WA,S-1,2000-09-11,1054721_0000891020-00-001643.htm,./data/S-1/2000/QTR3/1054721_0000891020-00-001643,https://www.sec.gov/Archives/edgar/data/1054721/000089102000001643/0000891020-00-001643-index.htm,7389
1058154,PAWNBROKER COM INC,S-1,2000-07-31,1058154_0000912282-00-000226.htm,./data/S-1/2000/QTR3/1058154_0000912282-00-000226,https://www.sec.gov/Archives/edgar/data/1058154/000091228200000226/0000912282-00-000226-index.htm,7389
1068875,INFOSPACE INC,S-1,2000-08-11,1068875_0001012870-00-004327.htm,./data/S-1/2000/QTR3/1068875_0001012870-00-004327,https://www.sec.gov/Archives/edgar/data/1068875/000101287000004327/0001012870-00-004327-index.htm,7374
1075736,NETGATEWAY INC,S-1,2000-09-07,1075736_0000912057-00-040476.htm,./data/S-1/2000/QTR3/1075736_0000912057-00-040476,https://www.sec.gov/Archives/edgar/data/1075736/000091205700040476/0000912057-00-040476-index.htm,7373
1076804,ADAYTUM SOFTWARE INC,S-1,2000-08-07,1076804_0000912057-00-035047.htm,./data/S-1/2000/QTR3/1076804_0000912057-00-035047,https://www.sec.gov/Archives/edgar/data/1076804/000091205700035047/0000912057-00-035047-index.htm,7372
1080589,GREENWICH TECHNOLOGY PARTNERS INC,S-1,2000-08-23,1080589_0000950130-00-004652.htm,./data/S-1/2000/QTR3/1080589_0000950130-00-004652,https://www.sec.gov/Archives/edgar/data/1080589/000095013000004652/0000950130-00-004652-index.htm,7371
1081798,ESAT INC,S-1,2000-08-21,1081798_0000950150-00-000725.htm,./data/S-1/2000/QTR3/1081798_0000950150-00-000725,https://www.sec.gov/Archives/edgar/data/1081798/000095015000000725/0000950150-00-000725-index.htm,7389
1084765,RESOURCES CONNECTION INC,S-1,2000-09-01,1084765_0001017062-00-001970.htm,./data/S-1/2000/QTR3/1084765_0001017062-00-001970,https://www.sec.gov/Archives/edgar/data/1084765/000101706200001970/0001017062-00-001970-index.htm,7389
1085278,WORDCRUNCHER INTERNET TECHNOLOGIES,S-1,2000-07-28,1085278_0001020488-00-000113.htm,./data/S-1/2000/QTR3/1085278_0001020488-00-000113,https://www.sec.gov/Archives/edgar/data/1085278/000102048800000113/0001020488-00-000113-index.htm,7370
1086222,AKAMAI TECHNOLOGIES INC,S-1,2000-09-13,1086222_0000950135-00-004319.htm,./data/S-1/2000/QTR3/1086222_0000950135-00-004319,https://www.sec.gov/Archives/edgar/data/1086222/000095013500004319/0000950135-00-004319-index.htm,7389
1088724,INFORMAX INC,S-1,2000-07-11,1088724_0001005150-00-000954.htm,./data/S-1/2000/QTR3/1088724_0001005150-00-000954,https://www.sec.gov/Archives/edgar/data/1088724/000100515000000954/0001005150-00-000954-index.htm,7371
1089907,KANA COMMUNICATIONS INC,S-1,2000-07-28,1089907_0001092388-00-000441.htm,./data/S-1/2000/QTR3/1089907_0001092388-00-000441,https://www.sec.gov/Archives/edgar/data/1089907/000109238800000441/0001092388-00-000441-index.htm,7389
1090908,SELECTICA INC,S-1,2000-07-21,1090908_0000891618-00-004031.htm,./data/S-1/2000/QTR3/1090908_0000891618-00-004031,https://www.sec.gov/Archives/edgar/data/1090908/000089161800004031/0000891618-00-004031-index.htm,7372
